Brand,Type,Model,Ram,Display,Battery,Genaration,FrontCamra,Price
1,1,778,6,1,5000,5,32,19999
1,1,8.1,12,1,5000,5,40,91699
1,1,865,8,1,4500,5,32,32999
1,3,1280,6,2,6000,5,8,18999
1,3,850,4,2,6000,4,8,11999
1,3,1280,6,1,5000,5,13,25499
1,3,1280,6,1,5000,5,32,30290
1,1,778,8,1,5000,5,32,41999
1,2,80,4,1,6000,4,20,12499
1,1,720,6,1,4500,4,32,24390
1,1,680,6,2,5000,4,8,17100
1,2,80,6,1,6000,4,13,12990
1,1,778,6,1,5000,5,32,24999
1,1,778,8,1,5000,5,32,26999
1,2,900,6,1,5000,5,32,26499
1,2,900,8,1,5000,5,32,28499
1,3,850,4,2,6000,4,8,11999
1,1,750,4,3,5000,5,8,17499
1,1,750,6,3,5000,5,8,18450
1,3,850,4,2,6000,4,8,12999
1,3,850,4,2,6000,4,8,12460
1,3,2100,8,1,4500,5,32,49999
1,1,8.1,8,1,3700,5,10,69999
1,1,8.1,8,1,3700,5,10,64700
1,2,6739,3,2,5000,4,5,8399
1,2,22,3,2,4000,4,8,11499
1,1,805,3,1,3000,4,3.7,39500
1,4,606,3,2,5000,4,5,9999
1,1,450,3,2,5000,4,8,9990
1,1,450,4,2,5000,4,8,14990
1,2,700,4,2,5000,5,5,13999
1,2,700,4,2,6000,4,8,13999
1,3,850,6,2,5000,4,8,16288
1,3,850,4,2,5000,4,8,14300
1,3,850,4,2,5000,4,8,13999
1,3,850,4,2,6000,4,8,11499
1,3,850,4,2,6000,4,8,11790
1,3,9611,4,1,6000,4,20,11790
1,3,820,4,2,6000,4,8,11999
1,2,35,4,2,5000,4,8,11399
1,2,35,3,2,5000,4,5,10349
1,3,850,4,2,5000,4,13,14999
1,1,680,6,2,5000,4,8,17099
1,1,680,8,2,5000,4,8,19999
1,2,80,8,1,5000,4,20,19499
1,2,700,6,3,5000,5,8,16999
1,2,700,6,3,5000,5,8,16500
1,2,700,8,3,5000,5,8,18485
1,2,80,6,1,6000,4,20,15499
1,3,9611,6,1,6000,4,32,18999
1,3,9611,6,1,6000,4,32,15999
1,3,9611,6,1,6000,4,32,16898
1,3,9611,8,1,6000,4,32,17999
1,3,9611,6,1,6000,4,32,14925
1,1,675,6,2,3500,4,16,19990
1,3,1280,8,2,6000,5,8,20499
1,3,1280,8,1,5000,5,13,26999
2,2,8100,6,2,5080,5,16,25999
2,1,695,6,1,5000,5,16,19999
2,2,95,6,1,5000,5,13,14999
2,2,96,6,1,5000,4,16,18999
2,1,8.1,8,1,4600,5,32,62999
2,1,680,4,2,6000,4,5,10999
2,2,700,4,2,5000,5,8,11999
2,2,920,6,1,5160,5,16,21999
2,2,810,6,2,5000,5,16,15499
2,1,680,4,1,5000,4,13,13499
2,2,96,6,1,5000,4,16,14999
2,1,732,6,1,5020,4,16,17999
2,1,778,6,1,4250,5,20,24999
2,2,88,4,2,6000,4,8,11499
2,1,888,8,1,5000,5,16,35999
2,1,678,4,1,5000,4,13,14999
2,1,870,6,1,4520,5,20,27999
2,2,25,3,2,5000,4,5,8499
2,1,720,4,2,5020,4,16,13999
2,2,920,6,1,4500,5,16,22975
2,2,25,2,2,5000,4,5,9499
2,2,35,4,2,5000,4,5,9499
2,1,680,8,2,6000,4,5,14999
2,1,732,6,1,5020,4,16,15999
2,2,90,6,2,4500,4,20,14872
2,1,720,6,2,5020,4,32,16990
2,1,855,6,1,4000,4,20,25950
2,2,85,4,2,5020,4,13,12699
2,2,8100,8,2,5080,5,16,28999
2,2,25,2,2,5000,4,5,6999
